r,l,t
9703.777769446373,1333,1822.5717151165009
1030.1433339118958,93,1822.876382112503
3642.4957624673843,387,1823.992390871048
5071.037088036537,871,1826.438057422638
647.8709900975227,66,1826.6773343086243
9703.83334249258,1333,1830.3590252399445
3634.907243311405,1099,1833.467868089676
9797.333315312862,912,1836.0320341587067
3663.3642359375954,402,1837.1859679222107
9844.722188532352,699,1839.183045387268
3642.495771944523,383,1840.2778406143188
3646.2900317907333,327,1841.2311897277832
3661.467111170292,388,1842.343197107315
3650.084306001663,352,1843.348729133606
5066.294252991676,872,1845.8110592365265
9741.222186505795,1165,1849.1024837493896
3632.0615396499634,362,1850.1410491466522
9832.777728199959,753,1852.2836637496948
9737.333320736885,1182,1855.5694417953491
9797.333296656609,912,1858.140433549881
9763.55548942089,1064,1861.1692264080048
9799.555509448051,902,1863.8656225204468
3638.701512157917,398,1865.1210057735443
5071.0370861291885,871,1868.571721315384
9800.555555462837,898,1871.6399924755096
4694.456157684326,1910,1877.8198490142822
9741.05550545454,1166,1882.2114117145538
9800.333290576935,899,1885.7859706878662
9826.388815701008,782,1888.231550693512
9800.3332888484,899,1890.921634197235
3635.8558084368706,420,1892.1903142929077
3646.29004496336,398,1893.628117799759
9800.222177565098,899,1896.4519114494324
9810.388839781284,854,1898.8790686130524
4239.144174218178,1061,1902.885020494461
9808.722170114517,861,1906.3285810947418
9820.999961853027,806,1908.8271262645721
9825.38887566328,786,1911.0547456741333
9826.944417893887,779,1913.7274730205536
8311.340625345707,4500,1926.5628299713135
3639.6500734090805,446,1927.88432264328
9826.888871967793,779,1930.1616225242615
9821.888873398304,802,1932.93425822258
9825.38888335228,786,1935.787581205368
5074.831354498863,4500,1948.7891736030579
9823.49996548891,795,1951.1310458183289
5095.699822902679,4500,1963.2863473892212
9823.444447338581,795,1965.4863860607147
8863.406394481659,4500,1977.44673204422
9835.66665148735,740,1979.6093618869781
9822.888886928558,797,1981.8981564044952
5095.699818432331,4500,1994.3272676467896
8537.099476516247,4500,2006.6672687530518
8462.162715017796,4500,2018.6429250240326
9827.222188591957,778,2020.894122838974
9826.222226381302,782,2023.1612904071808
9826.88887310028,779,2025.394719839096
8310.392057538033,4500,2037.5477015972137
9823.222233355045,796,2039.8298625946045
9823.444421172142,795,2042.148409128189
9854.166646242142,657,2044.047196149826
5107.082619726658,4500,2056.2379519939423
9823.055530667305,797,2058.4627237319946
9834.999945223331,743,2060.6373727321625
9835.888856112957,739,2062.7980966567993
9827.166670918465,778,2065.024845600128
9822.611065268517,799,2067.3101382255554
9834.999992132187,743,2069.381916284561
9823.111110329628,796,2071.614727973938
9823.444425582886,795,2074.2399723529816
9823.388868153095,795,2076.807842731476
4850.021066784859,4500,2088.7809240818024
8331.26052159071,4500,2102.739603281021
9823.22221416235,796,2105.303008079529
9827.222208857536,778,2107.9751806259155
9822.944407343864,797,2110.3136732578278
9822.944412589073,797,2112.62651348114
7695.720896720886,4500,2131.4044210910797
9832.055531978607,756,2134.751435995102
9826.222229361534,782,2138.633996486664
9854.38884985447,656,2141.513498067856
9823.111111164093,796,2143.985605955124
9825.388878405094,786,2146.386332511902
9826.888875722885,779,2148.7044172286987
9821.888870716095,802,2151.4843854904175
9823.111110627651,796,2154.277714252472
9823.111113905907,796,2156.9998202323914
9835.722194135189,740,2159.605578660965
8546.585144340992,4500,2173.7676780223846
9831.666655242443,758,2175.9934198856354
5095.69982111454,4500,2190.049493074417
9823.444423615932,795,2192.5967535972595
9825.388859987259,786,2194.990978717804
9831.88888591528,757,2197.42027926445
8635.750409603119,4500,2211.385908603668
9856.388812303543,647,2213.3801522254944
9834.999966740608,743,2215.668964624405
8461.21414655447,4500,2230.096074819565
9825.388877391815,786,2233.073007106781
9822.611110806465,799,2236.1326904296875
9825.333314836025,786,2239.469441175461
9835.888857364655,739,2242.0714762210846
9823.555508375168,794,2244.862895965576
9821.83333426714,802,2248.508008003235
9835.944399654865,739,2251.2025513648987
9825.38885885477,786,2253.809951066971
9835.8888656497,739,2256.01255607605
9825.388878464699,786,2258.8323826789856
5093.802686989307,4500,2272.353840112686
8514.33387953043,4500,2286.3755152225494
9822.944400012493,797,2289.2171030044556
9835.94440150261,739,2291.9337747097015
9834.944385051727,743,2294.491694688797
4997.048893630505,4500,2308.3719234466553
9858.55553239584,637,2310.4005234241486
8514.33388209343,4500,2325.5069963932037
9823.555549919605,794,2328.408150911331
8447.934206962585,4500,2344.1573433876038
9831.555539608002,758,2346.304789543152
9856.38881289959,647,2348.2005105018616
9825.38885819912,786,2350.448249578476
9832.222156643867,755,2352.6928713321686
4790.2613688111305,4500,2367.32573223114
9823.499962747097,795,2371.001488685608
8320.826289355755,4500,2386.6978142261505
9821.833309710026,802,2389.513006925583
9822.555544018745,799,2392.5847277641296
8533.30521017313,4500,2405.997869491577
5094.751254022121,4500,2419.6186122894287
5092.854125678539,4500,2432.3487055301666
9831.888887703419,757,2434.516647338867
9835.944402456284,739,2436.64750289917
5096.648388266563,4500,2450.263916492462
9823.111113607883,796,2453.087577819824
9835.888851344585,739,2455.651181459427
9823.277737796307,796,2458.4430282115936
9821.833289206028,802,2460.8684244155884
5092.854119777679,4500,2474.6053378582
9823.111110448837,796,2476.899989128113
9823.444406211376,795,2479.4357664585114
9856.333306252956,647,2481.7187221050262
9821.944396615028,802,2484.3774626255035
9821.944410860538,802,2487.1881461143494
9832.555511116982,754,2490.3137061595917
9823.277776300907,796,2492.8683321475983
9826.94441998005,779,2495.1843400001526
9823.4444065094,795,2497.605024576187
9823.277780890465,796,2500.3492155075073
9826.777726531029,780,2503.0885603427887
9826.944419920444,779,2505.7416155338287
9826.83333259821,780,2508.6341784000397
9823.055510520935,797,2511.20264172554
9827.222208797932,778,2513.7309715747833
9856.333306610584,647,2515.9746017456055
9823.222217798233,796,2518.4910373687744
9823.11110919714,796,2520.812610387802
9822.777752399445,798,2523.150504589081
9827.055542707443,779,2525.509281396866
9825.388877272606,786,2527.8735003471375
9826.88887476921,779,2530.2900149822235
9826.888872265816,779,2532.7961869239807
5093.802684187889,4500,2545.6245217323303
5099.494084596634,4500,2558.7562997341156
9826.166643679142,783,2560.971389055252
9823.5555087924,794,2563.3427786827087
9858.444416046143,637,2565.356023788452
4850.021068274975,4500,2578.258553981781
9823.166636824608,796,2580.97656083107
9825.388880729675,786,2583.58979678154
9823.388901591301,795,2586.3798570632935
9827.222186744213,778,2589.1670055389404
9823.444421768188,795,2592.4132957458496
9825.333334386349,786,2596.3953552246094
9823.333343207836,795,2599.5695128440857
5089.059853553772,4500,2612.6170992851257
8530.459512293339,4500,2624.640711069107
4801.644167363644,4500,2636.825565099716
9825.333332240582,786,2639.056926727295
9835.944400191307,739,2641.2156496047974
9827.111099720001,778,2643.402752637863
5090.008420109749,4500,2655.850307703018
9825.33333235979,786,2658.109543323517
9827.22220814228,778,2660.301475048065
9827.166620016098,778,2662.4894206523895
9856.333305358887,647,2664.3303434848785
9826.888871312141,779,2666.5219056606293
8383.431683242321,4500,2678.510915517807
9831.388872802258,759,2680.5688576698303
9823.388856768608,795,2682.734262943268
9827.111084580421,778,2684.843495607376
9825.388877272606,786,2686.969140768051
9843.833316624165,703,2688.9341943264008
8514.3338804245,4500,2701.0462810993195
9823.444418609142,795,2703.310462474823
9835.55554819107,740,2705.4197483062744
9825.277753829956,787,2707.675019979477
4875.632362306118,4500,2720.2320790290833
5093.8026857972145,4500,2732.25319814682
9827.222187638283,778,2734.458977460861
9821.777724087238,802,2736.7640628814697
9831.999968528748,756,2738.901755332947
7474.704876601696,4500,2751.5338175296783
5089.059854447842,4500,2763.624950647354
4821.5640687942505,4500,2775.906355381012
9832.05549108982,756,2778.2753813266754
9827.222182154655,778,2780.548255443573
9834.166664719582,747,2782.758422613144
9822.499970316887,799,2785.026354789734
9827.111100912094,778,2787.2034265995026
9827.111083447933,778,2789.602744579315
9831.499997437,759,2792.7017879486084
9839.888860464096,721,2794.7823009490967
9826.777770221233,780,2796.999871492386
9835.500002861023,741,2799.128299474716
